winery,country,points,description,designation,Refined-description,CountVectorizer,TF-IDF Vectorizer Column
Rock Wall,US,91,"Hendry Vineyard Zinfandels are among Napa's best. With this release, Rock Wall brings their high alcohol, lusty touch to the wine. It's a huge Zin, dry and tannic, with ripe blackberry, dark chocolate and crushed black peppercorn flavors. Drink it now and through 2021.",Hendry Vineyard,Hendry Vineyard Zinfandels among Napa best With release Rock Wall brings high alcohol lusty touch wine It huge Zin dry tannic ripe blackberry dark chocolate crushed black peppercorn flavor Drink 2021,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136]]"
Thistle,US,91,"This estate-grown, organic Chardonnay is a terrific value, detailed and brightly fruity, with precise angles and spicy details. The apple/pear/pineapple fruit flavors are crisply defined, perfectly ripe, and beautifully balanced.",,This estategrown organic Chardonnay terrific value detailed brightly fruity precise angle spicy detail The applepearpineapple fruit flavor crisply defined perfectly ripe beautifully balanced,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896]]"
Vitesse,US,91,"The wine is a successful blend of various mountain vineyards. It's a classic California Cab, rich in tannins, with brisk acidity and finely-etched black currant, cassis, mineral and oak flavors. Blended with some Merlot, it's fancy and elegant, a real beauty to drink now, and will hold in the bottle until 2024.",,The wine successful blend various mountain vineyard It classic California Cab rich tannin brisk acidity finelyetched black currant cassis mineral oak flavor Blended Merlot fancy elegant real beauty drink hold bottle 2024,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536]]"
Wines & Winemakers,Portugal,91,"With strong wood-aging flavors, this is a full, very ripe and concentrated wine. Coming from old vines, it has depth of flavor, both fruity and rich. Peach and pear flavors dominate, along with spice from wood aging. The wine needs some aging, so drink from 2015.",Lua Cheia em Vinhas Velhas Reserva,With strong woodaging flavor full ripe concentrated wine Coming old vine depth flavor fruity rich Peach pear flavor dominate along spice wood aging The wine need aging drink 2015,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","[[0.1690308509457033, 0.3380617018914066, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.50709255283711, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.3380617018914066, 0.1690308509457033, 0.1690308509457033]]"
Nals Margreid,Italy,91,"Intense aromas recall fragrant jasmine and honeysuckle alongside whiffs of exotic fruit. The round palate delivers juicy green apple, citrus and hints of yellow peach that end on a mineral note.",Punggl,Intense aroma recall fragrant jasmine honeysuckle alongside whiff exotic fruit The round palate delivers juicy green apple citrus hint yellow peach end mineral note,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477, 0.20851441405707477]]"
Beauregard,US,91,"Right out of the bottle, it's all about acidity and fresh, primary raspberry and cherry jam fruit. Wait until 2018 allow more complex mushroom flavors to emerge, as the wine gradually sheds tannins and develops secondary bottle notes.",Bald Mountain Vineyard,Right bottle acidity fresh primary raspberry cherry jam fruit Wait 2018 allow complex mushroom flavor emerge wine gradually shed tannin develops secondary bottle note,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]","[[0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.3922322702763681, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404]]"
Domdechant Werner,Germany,91,"Whiffs of spice, honeycomb and lanolin meld curiously on the nose of this intensely mineral Riesling. Dry in style, with pretty yellow-cherry flavor, it builds in concentration and complexity as shades of spice, rock and fruit amass against a backdrop of sunny tangerine acidity. Drink now.",Hochheimer Domdechaney Trocken,Whiffs spice honeycomb lanolin meld curiously nose intensely mineral Riesling Dry style pretty yellowcherry flavor build concentration complexity shade spice rock fruit amass backdrop sunny tangerine acidity Drink,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.3651483716701107, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536]]"
Bischöfliche Weingüter Trier,Germany,91,"This dainty off-dry Riesling is marked by aromas—ripe stone fruit and florals against a backdrop of tea leaves and crushed minerals. On the palate, it's intensely juicy, with flavors of orange, mango and peach, but with a streak of acidity that ripples the tongue.",Ayler Kupp Kabinett,This dainty offdry Riesling marked aromas—ripe stone fruit florals backdrop tea leaf crushed mineral On palate intensely juicy flavor orange mango peach streak acidity ripple tongue,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]]"
Schloss Vollrads,Germany,91,"Lavish aromas of ripe peach, canteloupe and honeysuckle extend onto the palate of this juicy, fruit-forward Riesling. Semi-sweet in style, it's one lipsmacking nectar, with bracing lime acidity on the finish.",Medium Dry Kabinett,Lavish aroma ripe peach canteloupe honeysuckle extend onto palate juicy fruitforward Riesling Semisweet style one lipsmacking nectar bracing lime acidity finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174]]"
Bürgermeister Willi Schweinhardt,Germany,91,"Zesty lime and evergreen notes mingle with luscious peach, plum and cherry aromas on this semisweet Scheurebe. The palate is juicy in stone fruit flavor, but refreshing and cool, with a bracing hit of acidity that lingers on the finish.",Löhrer Berg Spätlese,Zesty lime evergreen note mingle luscious peach plum cherry aroma semisweet Scheurebe The palate juicy stone fruit flavor refreshing cool bracing hit acidity lingers finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154]]"
C.H. Berres,Germany,91,"Smoke and jasmine-tea notes mingle seductively on this brisk, gorgeously floral off-dry Riesling. The palate is lush, with ripe peach and nectarine flavors that fill the mouth, finishing long.",Ürziger Würzgarten Spätlese,Smoke jasminetea note mingle seductively brisk gorgeously floral offdry Riesling The palate lush ripe peach nectarine flavor fill mouth finishing long,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174, 0.22941573387056174]]"
Franz Haas,Italy,91,"This smooth, richly textured wine offers concentrated sensations of exotic fruit, apricot, smoky mineral, golden apple, hazelnut and a hint of honey. The palate is brightened by crisp acidity that gives a crisp finish. This will develop more complexity over the next few years. Drink now–2017.",Manna,This smooth richly textured wine offer concentrated sensation exotic fruit apricot smoky mineral golden apple hazelnut hint honey The palate brightened crisp acidity give crisp finish This develop complexity next year Drink now–2017,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]","[[0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.3651483716701107, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536, 0.18257418583505536]]"
Hawks View,US,91,"From the estate vineyard, this is thick with spicy flavors of fresh-cut pear. There's a hint of butter and a slightly minty aspect. All in all it's complex, rich and inviting, with penetrating acidity.",Oregon Hawks View Vineyard,From estate vineyard thick spicy flavor freshcut pear There hint butter slightly minty aspect All complex rich inviting penetrating acidity,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]]"
Herdade do Rocim,Portugal,91,"This wine is full of fruit, dusty tannins and great structure. A smooth surface covers the complex, juicy black fruits, dense tannins and mineral texture. This wine will certainly age, so don't drink before 2017.",Olho de Mocho Reserva,This wine full fruit dusty tannin great structure A smooth surface cover complex juicy black fruit dense tannin mineral texture This wine certainly age nt drink 2017,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.3713906763541037, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.18569533817705186, 0.3713906763541037, 0.18569533817705186, 0.3713906763541037]]"
J Vineyards & Winery,US,91,"This Chardonnay is rich in all the bells and whistles, such as aging on the lees in French oak barrels. The underlying fruit shows ripe, racy tropical flavors, as well as peach and pear notes that are deep and delicious. With production of 8,400 cases, the wine should be easy to find.",Estate Grown,This Chardonnay rich bell whistle aging lee French oak barrel The underlying fruit show ripe racy tropical flavor well peach pear note deep delicious With production 8400 case wine easy find,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]]"
L. Tramier & Fils,France,91,"Still young, it has dense tannins, spice from wood aging and a smoky bacon flavor that is still integrating. It will have the right weight and good berry fruits as it ages, giving a sense of presence and grandeur. Drink from 2018.",,Still young dense tannin spice wood aging smoky bacon flavor still integrating It right weight good berry fruit age giving sense presence grandeur Drink 2018,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041, 0.21320071635561041]]"
La Follette,US,91,"This wine is as dry as Chardonnay gets, almost severe, with the alcohol an amazingly low 13.2% by volume. The lean, angular mouthfeel provides hints of Meyer lemons, limes and wet stones, with a bit of tropical fruits suggesting that this is California, despite the vintage being the chilliest in memory. Drink it through 2020, but never too cold.",Lorenzo Vineyard,This wine dry Chardonnay get almost severe alcohol amazingly low 132 volume The lean angular mouthfeel provides hint Meyer lemon lime wet stone bit tropical fruit suggesting California despite vintage chilliest memory Drink 2020 never cold,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749]]"
Laird,US,91,"The blend is Cabernet Sauvignon, Syrah, Merlot and Malbec. Cab Sauv brings rich black currants, as well as thick tannins. Merlot adds softer notes of cherries and violets. The Malbec increases the tannins, along with notes of grilled meat bone that Syrah, with its peppery, beef-jerky meatiness, enhances. The result is a young, vigorous wine, dry and balanced in acidity. It may or may not age, but there's no reason not to decant it now and enjoy with grilled beefsteak.",Jillian's Blend,The blend Cabernet Sauvignon Syrah Merlot Malbec Cab Sauv brings rich black currant well thick tannin Merlot add softer note cherry violet The Malbec increase tannin along note grilled meat bone Syrah peppery beefjerky meatiness enhances The result young vigorous wine dry balanced acidity It may may age reason decant enjoy grilled beefsteak,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1]","[[0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.2672612419124244, 0.1336306209562122, 0.2672612419124244, 0.1336306209562122, 0.1336306209562122, 0.2672612419124244, 0.2672612419124244, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.2672612419124244, 0.2672612419124244, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122, 0.1336306209562122]]"
Les Voleurs,US,91,"Here's a big Pinot Noir, dark, dense and tannic. In part, those tannins are due to 30% whole-cluster fermentation, which also gives the wine a brooding earthiness and spiciness. Fully dry, it's packed with black cherry, rhubarb and pomegranate fruits. Hold it until 2018 and see how it's doing.",Rodgers Creek Vineyard,Here big Pinot Noir dark dense tannic In part tannin due 30 wholecluster fermentation also give wine brooding earthiness spiciness Fully dry packed black cherry rhubarb pomegranate fruit Hold 2018 see,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154, 0.20412414523193154]]"
Dr. Heidemanns-Bergweiler,Germany,91,"Ripe, juicy peaches and nectarines burst from the nose and palate of this semisweet Riesling. Sunny and pristine, with a soft, lacy sweetness, it's balanced by bristling acidity and a delicate minerality on the finish.",Bernkasteler Badstube Spätlese,Ripe juicy peach nectarine burst nose palate semisweet Riesling Sunny pristine soft lacy sweetness balanced bristling acidity delicate minerality finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896, 0.22360679774997896]]"
Dr. Heidemanns-Bergweiler,Germany,91,"Fresh, herbaceous notes on the nose and palate lend elegance to this rich, round Riesling, full of sweet canteloupe and peach flavors. It's delicately structured, with a zingy strike of citrus acidity and hints of spice that carry long on the finish.",Graacher Himmelreich Auslese,Fresh herbaceous note nose palate lend elegance rich round Riesling full sweet canteloupe peach flavor It delicately structured zingy strike citrus acidity hint spice carry long finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]]"
Dr. Loosen,Germany,91,"This semisweet Riesling balances an intensely fruit-forward profile of ripe yellow cherry and quince flavors against a backdrop of crisp, tart tangerine acidity. It's sunny and bright, yet elegantly composed, with a bristle of fresh herb notes that linger on the finish.",Bernkasteler Lay Kabinett,This semisweet Riesling balance intensely fruitforward profile ripe yellow cherry quince flavor backdrop crisp tart tangerine acidity It sunny bright yet elegantly composed bristle fresh herb note linger finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404]]"
Dr. Pauly Bergweiler,Germany,91,"Opening with aromatic notes of smoke against a backdrop of stone fruit and apple blossoms, this is a racy little Riesling that packs a powerful punch of flavor. Delicately sweet, with a saturated palate of yellow cherry and quince, it's smartly balanced by a sheen of minerals and brisk, bracing citrus acidity.",Bernkasteler alte Badstube am Doctorberg Kabinett,Opening aromatic note smoke backdrop stone fruit apple blossom racy little Riesling pack powerful punch flavor Delicately sweet saturated palate yellow cherry quince smartly balanced sheen mineral brisk bracing citrus acidity,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749, 0.1796053020267749]]"
Bischöfliche Weingüter Trier,Germany,91,"Wisps of smoke and candle wax seem savory in contrast to the ripe stone fruit and lemon aromas on this concentrated Riesling. Ripe, juicy tangerine flavors lend sweetness to the palate, but are cut with a vein of lime acidity that reverberates from start to finish. It's delicately textured, yet chock full of vibe and zest.",Scharzhofberger Kabinett,Wisps smoke candle wax seem savory contrast ripe stone fruit lemon aroma concentrated Riesling Ripe juicy tangerine flavor lend sweetness palate cut vein lime acidity reverberates start finish It delicately textured yet chock full vibe zest,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.34299717028501764, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882]]"
Bollig-Lehnert,Germany,91,"While remarkably lithe and delicate in style, this complex auslese is lusciously concentrated, with ripe peach and nectarine flavors balanced by hints of smoke, spice and musk. It's zippy and bright, with tart tangerine acidity and a wave of minerality on the finish.",Trittenheimer Apotheke Auslese,While remarkably lithe delicate style complex auslese lusciously concentrated ripe peach nectarine flavor balanced hint smoke spice musk It zippy bright tart tangerine acidity wave minerality finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]]"
Bernardus,US,91,"Very sweet, honeyed flavors mark this dessert wine. It has apricot, pear, lemon and vanilla richness, brightened by crisp acidity. It's absolutely delicious for drinking now.",Griva Vineyard Late Harvest,Very sweet honeyed flavor mark dessert wine It apricot pear lemon vanilla richness brightened crisp acidity It absolutely delicious drinking,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297, 0.24253562503633297]]"
